Source Name	Characteristics[specimen type]	Characteristics[barcode identifier]	Characteristics[internal_ID]	Characteristics[resolute_ID]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Term Source REF	Term Accession Number	Characteristics[qc element]	Protocol REF	Date	Sample Name	Characteristics[material type]	Term Source REF	Term Accession Number	Factor Value[cell seeding density]	Factor Value[replicate number]	Factor Value[extraction volume]	Unit
102045	specimen	1024502883	102045.0	SM01XN-Y	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT-116	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0291	not applicable	sample collection		102045	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	1.0	750.0	µl
102043	specimen	1024502864	102043.0	SM01XK-X	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT-116	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0291	not applicable	sample collection		102043	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	2.0	750.0	µl
p180-UHPLC Cal2	positive control	437314			not applicable				cellosaurus		calibrators	sample collection	2012-10-16	p180-UHPLC Cal2	not applicable						µl
102025	specimen	1024502680			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102025	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423				µl
102921_M1	specimen	1024506652	102921.0	SM0205-P	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-468 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0419	not applicable	sample collection		102921_M1	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	1.0	1500.0	µl
p180-UHPLC Cal5	positive control	437345			not applicable				cellosaurus		calibrators	sample collection	2012-10-16	p180-UHPLC Cal5	not applicable						µl
102914_S3	specimen	1024506584	102914.0	SM01ZX-F	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-MEL-28	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0526	not applicable	sample collection		102914_S3	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	3.0	1500.0	µl
102922_M2	specimen	1024506667	102922.0	SM0206-R	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-468 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0419	not applicable	sample collection		102922_M2	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	2.0	1500.0	µl
p180_QC2	positive control	1020164635			not applicable				cellosaurus		EDTA plasma	sample collection	2017-04-25	p180_QC2	not applicable						µl
102924_M4	specimen	1024506686	102924.0	SM0208-5	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-468 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0419	not applicable	sample collection		102924_M4	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	1.0	1500.0	µl
102919_S8	specimen	1024506633	102919.0	SM0203-H	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-MEL-28	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0526	not applicable	sample collection		102919_S8	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	2.0	1500.0	µl
102929_M9	specimen	1024506735	102929.0	SM020E-7	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-468 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0419	not applicable	sample collection		102929_M9	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	3.0	1500.0	µl
102925_M5	specimen	1024506691	102925.0	SM0209-1	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-468 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0419	not applicable	sample collection		102925_M5	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	2.0	1500.0	µl
102046	specimen	1024502898	102046.0	SM01XP-3	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT-116	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0291	not applicable	sample collection		102046	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	2.0	750.0	µl
102038	specimen	1024502811	102038.0	SM01ZB-Q	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS180	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0397	not applicable	sample collection		102038	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	3.0	750.0	µl
102907_J5	specimen	1024506512	102907.0	SM01ZN-A	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	JumpIn	cellosaurus		not applicable	sample collection		102907_J5	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	2.0	1500.0	µl
102927_M7	specimen	1024506716	102927.0	SM020B-E	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-468 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0419	not applicable	sample collection		102927_M7	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	1.0	1500.0	µl
102034	specimen	1024502777	102034.0	SM01Z7-W	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS180	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0397	not applicable	sample collection		102034	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	2.0	750.0	µl
102030	specimen	1024502739			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102030	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423				µl
