Source Name	Characteristics[barcode identifier]	Characteristics[material role]	Characteristics[chemical compound]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Protocol REF	Date	Sample Name	Material Type	
102907_J5	1024506512	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102907_J5	specimen
102927_M7	1024506716	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102927_M7	specimen
102034	1024502777	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102034	specimen
102030	1024502739	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102030	specimen
102905_J3	1024506497	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102905_J3	specimen
102039	1024502826	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102039	specimen
102037	1024502807	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102037	specimen
102047	1024502909	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102047	specimen
102908_J6	1024506527	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102908_J6	specimen
102923_M3	1024506671	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102923_M3	specimen
102059	1024503021	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102059	specimen
102942_TD000232_4	1024506880	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	serum	UBERON	http://purl.obolibrary.org/obo/UBERON_0001977	sample collection		102942_TD000232_4	specimen
p180-UHPLC Cal6	437359	positive control	calibrators	not applicable			not applicable			sample collection	2012-10-16	p180-UHPLC Cal6	positive control
p180-UHPLC Cal7	437362	positive control	calibrators	not applicable			not applicable			sample collection	2012-10-16	p180-UHPLC Cal7	positive control
102940_TD000232_2	1024506861	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	serum	UBERON	http://purl.obolibrary.org/obo/UBERON_0001977	sample collection		102940_TD000232_2	specimen
102913_S2	1024506570	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102913_S2	specimen
p180-UHPLC Cal1	437301	positive control	calibrators	not applicable			not applicable			sample collection	2012-10-16	p180-UHPLC Cal1	positive control
p180-UHPLC Cal3	437328	positive control	calibrators	not applicable			not applicable			sample collection	2012-10-16	p180-UHPLC Cal3	positive control
